P(Et | Xt)
P(r | b) = 0.00663265306122
P(h | b) = 0.00459183673469
P(y | b) = 0.00663265306122
P(s | b) = 0.0015306122449
P(b | b) = 0.00255102040816
P(t | b) = 0.00102040816327
P(h | e) = 0.156809453471
P(l | e) = 0.0606794682422
P(c | e) = 0.0380502215657
P(b | e) = 0.0475627769572
P(r | e) = 0.114977843427
P(v | e) = 0.0646381093058
P(e | e) = 0.0268833087149
P(n | e) = 0.0490989660266
P(s | e) = 0.0600295420975
P(z | e) = 0.00330871491876
P(t | e) = 0.0787001477105
P(u | e) = 0.00927621861152
P(_ | e) = 0.0496307237814
P(g | e) = 0.0224519940916
P(k | e) = 0.0124667651403
P(w | e) = 0.0283604135894
P(j | e) = 0.00100443131462
P(d | e) = 0.0445494830133
P(m | e) = 0.040059084195
P(i | e) = 0.0396454948301
P(f | e) = 0.0118168389956
P(p | e) = 0.031905465288
P(x | e) = 0.00153618906942
P(y | e) = 0.00295420974889
P(o | e) = 0.00348596750369
P(a | e) = 0.000118168389956
P(r | d) = 0.0268817204301
P(e | d) = 0.227442730248
P(l | d) = 0.0790088826554
P(n | d) = 0.266245909303
P(_ | d) = 0.18443197756
P(o | d) = 0.0530621785881
P(i | d) = 0.0724637681159
P(a | d) = 0.0656848994857
P(u | d) = 0.013090229079
P(d | d) = 0.00444132772324
P(w | d) = 0.00257129499766
P(k | d) = 0.00420757363254
P(t | d) = 0.000467508181393
P(n | g) = 0.357393679282
P(u | g) = 0.0628170113149
P(o | g) = 0.147093250098
P(a | g) = 0.0780335544284
P(i | g) = 0.0624268435427
P(e | g) = 0.0370659383535
P(_ | g) = 0.179087007413
P(g | g) = 0.0113148653921
P(r | g) = 0.0585251658213
P(d | g) = 0.00312134217714
P(t | g) = 0.000780335544284
P(s | g) = 0.000780335544284
P(y | g) = 0.000780335544284
P(f | g) = 0.000780335544284
P(_ | f) = 0.313461538462
P(o | f) = 0.330448717949
P(n | f) = 0.0205128205128
P(i | f) = 0.0884615384615
P(e | f) = 0.0967948717949
P(l | f) = 0.024358974359
P(f | f) = 0.0625
P(s | f) = 0.0230769230769
P(r | f) = 0.00961538461538
P(u | f) = 0.0125
P(a | f) = 0.0134615384615
P(t | f) = 0.00224358974359
P(b | f) = 0.000641025641026
P(m | f) = 0.000641025641026
P(d | f) = 0.000641025641026
P(p | f) = 0.000641025641026
P(e | i) = 0.0237745817435
P(v | i) = 0.0393307895509
P(_ | i) = 0.214656100186
P(l | i) = 0.0524410527346
P(t | i) = 0.156931807064
P(m | i) = 0.0255356618726
P(g | i) = 0.024752959593
P(a | i) = 0.0265140397221
P(c | i) = 0.0607572644555
P(f | i) = 0.0262205263673
P(n | i) = 0.0337540358086
P(o | i) = 0.00929458957049
P(s | i) = 0.0510713237452
P(h | i) = 0.0576264553371
P(r | i) = 0.0674102338323
P(d | i) = 0.0415810586048
P(w | i) = 0.0460815967127
P(k | i) = 0.0105664807749
P(b | i) = 0.00714215830154
P(u | i) = 0.0115448586244
P(p | i) = 0.00675080716173
P(y | i) = 0.00234810683886
P(x | i) = 0.00313080911848
P(z | i) = 0.00078270227962
P(t | h) = 0.582457815982
P(g | h) = 0.0327921044253
P(c | h) = 0.117637695002
P(_ | h) = 0.153613498886
P(w | h) = 0.0566698503661
P(p | h) = 0.0171919770774
P(s | h) = 0.0221267112385
P(o | h) = 0.00175103470232
P(e | h) = 0.0105062082139
P(n | h) = 0.00191021967526
P(a | h) = 0.000795924864693
P(x | h) = 0.000477554918816
P(h | h) = 0.000318369945877
P(i | h) = 0.000477554918816
P(r | h) = 0.000955109837631
P(d | h) = 0.000318369945877
P(a | k) = 0.335087719298
P(i | k) = 0.0842105263158
P(s | k) = 0.0508771929825
P(_ | k) = 0.133333333333
P(n | k) = 0.0614035087719
P(r | k) = 0.156140350877
P(c | k) = 0.0912280701754
P(o | k) = 0.040350877193
P(e | k) = 0.0210526315789
P(l | k) = 0.0228070175439
P(m | k) = 0.00350877192982
P(_ | j) = 0.528846153846
P(b | j) = 0.153846153846
P(a | j) = 0.221153846154
P(d | j) = 0.0769230769231
P(n | j) = 0.0192307692308
P(e | m) = 0.174950856501
P(r | m) = 0.04099971918
P(o | m) = 0.171861836563
P(m | m) = 0.0185341196293
P(_ | m) = 0.308340353833
P(a | m) = 0.0539174389217
P(i | m) = 0.0909856781803
P(s | m) = 0.0370682392586
P(u | m) = 0.0572872788543
P(n | m) = 0.0199382196012
P(l | m) = 0.00898623982028
P(y | m) = 0.00421229991575
P(t | m) = 0.00280819994384
P(p | m) = 0.00533557989329
P(b | m) = 0.000561639988767
P(h | m) = 0.00112327997753
P(g | m) = 0.00224655995507
P(d | m) = 0.000842459983151
P(o | l) = 0.114767791514
P(_ | l) = 0.101069161377
P(a | l) = 0.224858002005
P(l | l) = 0.112429001002
P(e | l) = 0.0826929502172
P(c | l) = 0.015703307718
P(u | l) = 0.0736719011026
P(i | l) = 0.0813564984965
P(p | l) = 0.0673237554293
P(b | l) = 0.0481122619445
P(n | l) = 0.0217173404611
P(h | l) = 0.00283995990645
P(g | l) = 0.00551286334781
P(s | l) = 0.00534580688273
P(r | l) = 0.0131974607417
P(d | l) = 0.0033411293017
